game_id,home_team,away_team,pick_team,confidence,win_probability,game_date,confidence_points
2629,Buffalo Bills,Miami Dolphins,Miami Dolphins,16,0.9055436268584598,2025-09-19,16
2630,Cleveland Browns,Green Bay Packers,Cleveland Browns,15,0.9055436268584598,2025-09-21,15
2631,Tennessee Titans,Indianapolis Colts,Tennessee Titans,14,0.9055436268584598,2025-09-21,14
2632,Minnesota Vikings,Cincinnati Bengals,Minnesota Vikings,13,0.9055436268584598,2025-09-21,13
2633,New England Patriots,Pittsburgh Steelers,New England Patriots,12,0.9055436268584598,2025-09-21,12
2634,Philadelphia Eagles,Los Angeles Rams,Philadelphia Eagles,11,0.9055436268584598,2025-09-21,11
2635,Tampa Bay Buccaneers,New York Jets,Tampa Bay Buccaneers,10,0.9055436268584598,2025-09-21,10
2636,Washington Commanders,Las Vegas Raiders,Washington Commanders,9,0.9055436268584598,2025-09-21,9
2637,Carolina Panthers,Atlanta Falcons,Carolina Panthers,8,0.9055436268584598,2025-09-21,8
2638,Jacksonville Jaguars,Houston Texans,Jacksonville Jaguars,7,0.9055436268584598,2025-09-21,7
2639,Los Angeles Chargers,Denver Broncos,Los Angeles Chargers,6,0.9055436268584598,2025-09-21,6
2640,Seattle Seahawks,New Orleans Saints,Seattle Seahawks,5,0.9055436268584598,2025-09-21,5
2641,Chicago Bears,Dallas Cowboys,Dallas Cowboys,4,0.9055436268584598,2025-09-21,4
2642,San Francisco 49ers,Arizona Cardinals,San Francisco 49ers,3,0.9055436268584598,2025-09-21,3
2643,New York Giants,Kansas City Chiefs,New York Giants,2,0.9055436268584598,2025-09-22,2
2644,Baltimore Ravens,Detroit Lions,Baltimore Ravens,1,0.9055436268584598,2025-09-23,1
